"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2016","11,130","11,408","11,538","10,818","1.10M","0.27%"
"Jun 30, 2016","11,100","10,400","11,868","10,400","1.93M","7.24%"
"Jun 29, 2016","10,351","10,121","10,596","9,820","736.36K","2.27%"
"Jun 28, 2016","10,121","9,605","10,366","9,605","1.07M","8.52%"
"Jun 27, 2016","9,326","9,507","9,700","8,902","1.22M","2.48%"
"Jun 24, 2016","9,100","8,380","9,100","8,300","791.20K","-1.09%"
"Jun 23, 2016","9,200","8,497","9,256","8,329","1.10M","8.27%"
"Jun 22, 2016","8,497","8,803","9,000","8,457","619.67K","-1.69%"
"Jun 21, 2016","8,643","8,838","8,979","8,433","870.11K","-1.85%"
"Jun 20, 2016","8,806","9,100","9,298","8,645","539.60K","-0.56%"
"Jun 17, 2016","8,856","8,750","9,066","8,600","1.55M","2.38%"
"Jun 15, 2016","8,650","8,400","8,650","8,212","386.46K","6.06%"
"Jun 14, 2016","8,156","8,565","8,771","8,100","456.82K","-4.80%"
"Jun 13, 2016","8,567","8,848","8,950","8,200","672.23K","-1.53%"
"Jun 10, 2016","8,700","8,830","8,847","8,411","536.99K","-2.79%"
"Jun 09, 2016","8,950","8,840","9,143","8,731","1.23M","1.24%"
"Jun 08, 2016","8,840","8,701","8,900","8,661","237.02K","1.97%"
"Jun 07, 2016","8,669","8,640","9,240","8,483","965.57K","1.82%"
"Jun 06, 2016","8,514","8,135","8,813","8,010","987.00K","8.46%"
"Jun 03, 2016","7,850","7,625","7,894","7,150","826.14K","3.51%"
"Jun 02, 2016","7,584","7,511","7,830","7,511","458.08K","0.12%"
"Jun 01, 2016","7,575","8,000","8,104","7,550","979.11K","-6.47%"
"May 31, 2016","8,099","8,499","8,516","7,800","877.79K","-1.83%"
"May 30, 2016","8,250","8,260","8,578","8,060","455.23K","-0.07%"
"May 27, 2016","8,256","8,310","8,577","8,054","536.26K","0.50%"
"May 26, 2016","8,215","8,460","8,945","8,210","600.14K","-3.18%"
"May 25, 2016","8,485","8,620","8,750","8,300","675.16K","0.81%"
"May 24, 2016","8,417","8,557","8,897","8,321","631.89K","-1.52%"
"May 23, 2016","8,547","8,900","9,140","8,310","671.96K","-5.91%"
"May 20, 2016","9,084","9,236","9,544","9,041","521.86K","0.23%"
"May 19, 2016","9,063","9,200","9,364","8,656","719.73K","-3.68%"
"May 18, 2016","9,409","9,389","9,458","8,766","1.18M","1.01%"
"May 17, 2016","9,315","9,199","9,404","8,955","881.84K","3.50%"
"May 16, 2016","9,000","9,105","9,589","8,753","942.44K","-0.34%"
"May 13, 2016","9,031","9,000","9,063","8,650","446.36K","-2.37%"
"May 12, 2016","9,250","9,600","9,617","9,036","477.85K","-3.42%"
"May 11, 2016","9,578","9,095","9,765","9,000","693.62K","9.55%"
"May 10, 2016","8,743","8,710","8,990","8,255","1.83M","0.42%"
"May 09, 2016","8,706","9,999","10,122","8,690","1.31M","-14.31%"
"May 06, 2016","10,160","10,900","11,199","9,811","693.58K","-6.79%"
"May 05, 2016","10,900","11,380","11,543","10,800","1.40M","-5.21%"
"May 04, 2016","11,499","10,819","11,677","10,593","926.40K","2.34%"
"May 03, 2016","11,236","11,695","11,853","10,851","892.48K","-2.86%"
"Apr 29, 2016","11,567","11,685","11,996","11,354","1.44M","-2.39%"
"Apr 28, 2016","11,850","12,000","12,299","11,631","1.04M","-0.05%"
"Apr 26, 2016","11,856","11,755","12,386","11,716","494.51K","-2.66%"
"Apr 25, 2016","12,180","12,678","12,678","11,770","614.74K","-4.09%"
"Apr 22, 2016","12,700","12,125","13,300","12,100","2.66M","3.29%"
"Apr 21, 2016","12,296","11,400","12,627","11,376","1.64M","10.84%"
"Apr 20, 2016","11,093","10,400","11,354","10,201","1.79M","7.89%"
"Apr 19, 2016","10,282","10,000","10,298","9,802","1.29M","6.11%"
"Apr 18, 2016","9,690","9,780","10,000","9,601","811.08K","-2.02%"
"Apr 15, 2016","9,890","10,399","10,399","9,806","712.96K","-4.90%"
"Apr 14, 2016","10,400","10,805","11,000","10,336","850.02K","-4.72%"
"Apr 13, 2016","10,915","10,590","11,195","10,495","1.07M","7.01%"
"Apr 12, 2016","10,200","9,300","10,290","9,035","1.59M","10.97%"
"Apr 11, 2016","9,192","8,848","9,325","8,381","1.47M","6.75%"
"Apr 08, 2016","8,611","8,601","8,963","8,449","648.08K","0.13%"
"Apr 07, 2016","8,600","8,200","8,796","8,100","1.27M","5.65%"
"Apr 06, 2016","8,140","7,770","8,194","7,770","566.38K","4.56%"
"Apr 05, 2016","7,785","7,929","8,081","7,604","317.92K","-2.91%"
"Apr 04, 2016","8,018","7,904","8,570","7,904","590.86K","-1.15%"
"Apr 01, 2016","8,111","8,000","8,200","7,633","580.95K","1.97%"
"Mar 31, 2016","7,954","7,670","8,400","7,350","1.01M","2.37%"
"Mar 30, 2016","7,770","6,901","7,850","6,901","1.30M","12.61%"
"Mar 29, 2016","6,900","7,100","7,100","6,300","2.18M","-4.17%"
"Mar 24, 2016","7,200","7,766","7,940","6,838","759.44K","-6.49%"
"Mar 23, 2016","7,700","8,590","8,640","7,503","872.98K","-9.26%"
"Mar 22, 2016","8,486","8,111","8,769","7,901","1.09M","6.22%"
"Mar 18, 2016","7,989","8,760","9,250","7,989","2.67M","-8.80%"
"Mar 17, 2016","8,760","8,215","8,760","8,116","613.23K","11.59%"
"Mar 16, 2016","7,850","8,450","8,699","7,800","1.21M","-7.10%"
"Mar 15, 2016","8,450","9,090","9,090","8,450","946.60K","-8.27%"
"Mar 14, 2016","9,212","9,650","9,699","9,161","286.05K","-1.99%"
"Mar 11, 2016","9,399","9,290","9,794","9,240","963.68K","1.17%"
"Mar 10, 2016","9,290","9,015","9,500","9,015","1.23M","3.22%"
"Mar 09, 2016","9,000","9,000","9,633","8,020","1.86M","-0.55%"
"Mar 08, 2016","9,050","10,850","10,850","9,001","2.03M","-18.43%"
"Mar 07, 2016","11,095","8,501","11,200","8,501","1.89M","34.62%"
"Mar 04, 2016","8,242","7,970","8,242","7,751","725.18K","7.32%"
