"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2017","14,670","14,773","14,950","14,639","944.69K","-1.28%"
"Jul 20, 2017","14,860","14,638","14,961","14,638","3.07M","0.75%"
"Jul 19, 2017","14,750","14,500","14,750","14,446","3.19M","2.52%"
"Jul 18, 2017","14,388","14,650","14,743","14,319","1.55M","-1.84%"
"Jul 17, 2017","14,657","14,549","14,657","14,444","2.49M","0.83%"
"Jul 14, 2017","14,536","14,555","14,577","14,314","2.76M","0.39%"
"Jul 13, 2017","14,480","14,450","14,595","14,288","2.37M","0.52%"
"Jul 12, 2017","14,405","13,939","14,405","13,869","2.48M","2.97%"
"Jul 11, 2017","13,990","14,114","14,177","13,902","2.13M","-1.32%"
"Jul 10, 2017","14,177","14,045","14,177","13,923","3.22M","1.78%"
"Jul 07, 2017","13,929","14,185","14,206","13,867","4.20M","-2.17%"
"Jul 06, 2017","14,238","14,378","14,494","14,157","2.52M","-0.97%"
"Jul 05, 2017","14,378","14,344","14,500","14,134","3.00M","-0.44%"
"Jul 04, 2017","14,442","14,350","14,581","14,188","2.49M","0.64%"
"Jul 03, 2017","14,350","14,375","14,489","14,149","2.07M","-0.17%"
"Jun 30, 2017","14,375","14,450","14,450","14,149","4.64M","0.17%"
"Jun 29, 2017","14,350","14,586","14,750","14,269","3.29M","-1.44%"
"Jun 28, 2017","14,559","14,484","14,644","14,376","2.68M","-0.34%"
"Jun 27, 2017","14,608","14,680","14,820","14,402","4.99M","-0.03%"
"Jun 26, 2017","14,612","14,300","14,700","14,298","2.96M","1.30%"
"Jun 23, 2017","14,425","14,040","14,550","14,040","3.50M","1.75%"
"Jun 22, 2017","14,177","14,165","14,270","14,036","4.29M","-0.23%"
"Jun 21, 2017","14,210","14,400","14,447","14,181","4.35M","-1.27%"
"Jun 20, 2017","14,393","14,454","14,493","14,328","4.76M","-0.64%"
"Jun 19, 2017","14,486","14,750","14,843","14,232","6.62M","-1.12%"
"Jun 15, 2017","14,650","14,821","14,947","14,565","18.99M","-1.45%"
"Jun 14, 2017","14,865","14,768","15,014","14,676","3.44M","0.66%"
"Jun 13, 2017","14,767","14,715","15,071","14,671","3.99M","-0.83%"
"Jun 12, 2017","14,890","14,601","14,955","14,361","4.10M","1.71%"
"Jun 09, 2017","14,640","14,489","14,788","14,350","4.90M","0.97%"
"Jun 08, 2017","14,500","14,457","14,850","14,457","3.26M","-0.68%"
"Jun 07, 2017","14,600","14,575","14,801","14,417","4.77M","-0.41%"
"Jun 06, 2017","14,660","15,180","15,203","14,587","7.38M","-3.55%"
"Jun 05, 2017","15,200","15,000","15,290","15,000","28.70M","2.01%"
"Jun 02, 2017","14,900","14,550","14,972","14,476","19.83M","3.79%"
"Jun 01, 2017","14,356","13,900","14,746","13,800","56.41M","3.28%"
"May 31, 2017","13,900","14,539","14,599","13,805","5.42M","-4.76%"
"May 30, 2017","14,595","14,724","14,765","14,506","1.25M","-0.57%"
"May 29, 2017","14,679","14,603","14,899","14,487","729.50K","-0.60%"
"May 26, 2017","14,767","14,981","14,981","14,641","1.41M","-1.29%"
"May 25, 2017","14,960","15,000","15,190","14,813","1.07M","-0.25%"
"May 24, 2017","14,998","14,639","14,998","14,634","2.02M","2.45%"
"May 23, 2017","14,640","14,400","14,640","14,301","1.28M","1.85%"
"May 22, 2017","14,374","14,323","14,374","14,132","1.01M","0.90%"
"May 19, 2017","14,246","14,228","14,339","14,070","1.10M","0.47%"
"May 18, 2017","14,179","14,262","14,350","13,984","1.29M","-0.58%"
"May 17, 2017","14,262","14,630","14,850","14,133","1.70M","-1.96%"
"May 16, 2017","14,547","14,450","14,720","14,281","1.71M","1.06%"
"May 15, 2017","14,394","14,400","14,598","14,241","1.01M","-0.04%"
"May 12, 2017","14,400","14,667","14,721","14,350","1.13M","-1.10%"
"May 11, 2017","14,560","14,700","14,850","14,537","1.53M","-1.07%"
"May 10, 2017","14,718","14,799","14,847","14,646","1.49M","-0.49%"
"May 09, 2017","14,791","14,708","14,829","14,501","831.07K","0.62%"
"May 08, 2017","14,700","14,450","14,800","14,450","1.20M","1.80%"
"May 05, 2017","14,440","14,328","14,541","14,328","2.25M","-0.41%"
"May 04, 2017","14,500","14,675","14,737","14,374","1.32M","-1.75%"
"May 03, 2017","14,759","14,700","14,868","14,566","1.29M","-0.27%"
"May 02, 2017","14,799","14,700","14,897","14,586","1.23M","0.67%"
"Apr 28, 2017","14,700","14,500","14,975","14,500","1.26M","-0.72%"
"Apr 26, 2017","14,807","14,761","14,854","14,520","2.48M","0.17%"
"Apr 25, 2017","14,782","14,927","14,996","14,540","1.88M","-0.48%"
"Apr 24, 2017","14,854","14,679","15,048","14,640","1.67M","2.89%"
"Apr 21, 2017","14,437","14,374","14,600","14,374","1.39M","0.26%"
"Apr 20, 2017","14,400","14,496","14,501","14,191","1.97M","0.35%"
"Apr 19, 2017","14,350","14,505","14,505","14,200","2.77M","-0.35%"
"Apr 18, 2017","14,400","14,687","14,780","14,340","1.78M","-1.03%"
"Apr 13, 2017","14,550","14,600","14,700","14,340","1.62M","0.37%"
"Apr 12, 2017","14,497","14,395","14,905","14,375","3.34M","1.38%"
"Apr 11, 2017","14,300","14,100","14,374","13,878","2.48M","1.80%"
"Apr 10, 2017","14,047","13,970","14,250","13,796","1.98M","1.12%"
"Apr 07, 2017","13,891","13,700","13,950","13,586","3.34M","2.29%"
"Apr 06, 2017","13,580","13,600","13,728","13,406","3.25M","-1.95%"
"Apr 05, 2017","13,850","14,039","14,039","13,322","4.46M","-3.91%"
"Apr 04, 2017","14,414","13,798","14,469","13,520","3.45M","0.80%"
"Apr 03, 2017","14,300","14,099","14,367","13,849","4.56M","2.50%"
"Mar 31, 2017","13,951","13,998","14,496","13,880","10.11M","-7.16%"
"Mar 30, 2017","15,027","14,925","15,238","14,857","2.38M","0.62%"
"Mar 29, 2017","14,935","15,045","15,090","14,600","3.08M","-0.88%"
"Mar 28, 2017","15,068","15,000","15,450","14,900","3.46M","-1.80%"
"Mar 27, 2017","15,344","15,610","15,847","15,162","3.04M","-3.19%"
"Mar 24, 2017","15,850","15,650","15,949","15,650","2.79M","0.59%"
"Mar 23, 2017","15,757","15,679","15,800","15,593","1.85M","0.04%"
"Mar 22, 2017","15,750","15,200","15,750","15,200","2.98M","1.55%"
"Mar 20, 2017","15,509","15,650","15,715","15,410","1.39M","-0.72%"
"Mar 17, 2017","15,621","15,718","15,797","15,425","4.02M","-0.62%"
"Mar 16, 2017","15,718","15,210","15,718","15,063","4.83M","4.40%"
"Mar 15, 2017","15,055","14,999","15,230","14,800","3.29M","1.54%"
"Mar 14, 2017","14,827","15,200","15,299","14,821","3.00M","-2.45%"
"Mar 13, 2017","15,200","15,115","15,395","15,049","1.13M","0.85%"
"Mar 10, 2017","15,072","15,100","15,243","14,906","2.20M","0.05%"
"Mar 09, 2017","15,065","14,950","15,175","14,901","3.42M","0.33%"
"Mar 08, 2017","15,015","15,180","15,310","14,861","4.29M","-1.03%"
"Mar 07, 2017","15,171","15,448","15,520","15,120","2.53M","-1.81%"
"Mar 06, 2017","15,450","15,400","15,617","15,302","1.33M","0.65%"
"Mar 03, 2017","15,350","15,350","15,486","15,150","6.62M","-0.32%"
"Mar 02, 2017","15,400","15,677","15,989","15,321","2.86M","-0.81%"
"Mar 01, 2017","15,525","15,400","15,535","15,100","4.15M","2.17%"
"Feb 28, 2017","15,195","15,694","15,694","15,195","3.78M","-1.84%"
"Feb 27, 2017","15,480","15,688","15,781","15,419","1.91M","-0.90%"
"Feb 24, 2017","15,620","15,663","15,800","15,560","1.72M","-0.41%"
"Feb 23, 2017","15,685","15,600","15,943","15,350","2.58M","-0.46%"
"Feb 22, 2017","15,757","15,900","16,203","15,524","1.88M","-1.68%"
"Feb 21, 2017","16,027","16,089","16,320","15,757","1.82M","-0.66%"
"Feb 20, 2017","16,133","16,070","16,148","15,800","1.04M","0.27%"
"Feb 17, 2017","16,089","16,200","16,267","15,901","1.44M","-1.28%"
"Feb 16, 2017","16,297","16,219","16,470","16,100","1.88M","-0.48%"
"Feb 15, 2017","16,376","16,480","16,698","16,272","2.05M","-0.30%"
"Feb 14, 2017","16,425","16,339","16,450","16,139","1.52M","0.45%"
"Feb 13, 2017","16,351","16,300","16,389","16,048","1.82M","0.84%"
"Feb 10, 2017","16,214","16,100","16,214","15,910","1.57M","1.97%"
"Feb 09, 2017","15,900","15,606","15,900","15,501","1.89M","2.53%"
"Feb 08, 2017","15,507","15,780","15,780","15,406","1.99M","-0.92%"
"Feb 07, 2017","15,651","15,335","15,700","15,278","1.76M","2.06%"
"Feb 06, 2017","15,335","15,460","15,679","15,320","1.04M","-0.79%"
"Feb 03, 2017","15,457","15,357","15,528","15,247","2.14M","0.24%"
"Feb 02, 2017","15,420","15,583","15,688","15,350","2.31M","-1.41%"
"Feb 01, 2017","15,640","16,000","16,000","15,615","1.91M","-1.52%"
"Jan 31, 2017","15,881","15,600","15,958","15,600","1.59M","1.48%"
"Jan 30, 2017","15,650","15,699","15,810","15,465","1.55M","0.32%"
"Jan 27, 2017","15,600","16,373","16,373","15,600","2.40M","-4.72%"
"Jan 26, 2017","16,373","16,506","16,774","16,247","1.41M","-0.81%"
