"Date","Price","Open","High","Low","Change %"
"Sep 14, 2015","13.4850","13.5417","13.6245","13.4619","-0.70%"
"Sep 11, 2015","13.5795","13.6119","13.6984","13.5279","-0.54%"
"Sep 10, 2015","13.6535","13.7884","13.9670","13.5419","-1.01%"
"Sep 09, 2015","13.7934","13.7079","13.8225","13.5405","0.50%"
"Sep 08, 2015","13.7246","13.9499","14.0145","13.6787","-1.74%"
"Sep 07, 2015","13.9679","13.8274","14.0215","13.8151","0.82%"
"Sep 04, 2015","13.8545","13.5478","13.9010","13.5439","2.14%"
"Sep 03, 2015","13.5640","13.4300","13.6625","13.3885","0.89%"
"Sep 02, 2015","13.4447","13.4377","13.5215","13.3853","-0.01%"
"Sep 01, 2015","13.4461","13.2741","13.4719","13.2328","1.26%"
"Aug 31, 2015","13.2788","13.2863","13.3872","13.2235","-0.19%"
"Aug 28, 2015","13.3044","13.1314","13.3595","13.1050","1.19%"
"Aug 27, 2015","13.1478","13.1208","13.2040","12.9835","0.14%"
"Aug 26, 2015","13.1289","13.1809","13.2050","13.0320","-0.50%"
"Aug 25, 2015","13.1946","13.2162","13.2481","12.9778","-0.29%"
"Aug 24, 2015","13.2325","12.9637","13.6662","12.9593","2.02%"
"Aug 21, 2015","12.9700","12.9312","12.9885","12.8829","0.26%"
"Aug 20, 2015","12.9361","12.8832","13.0049","12.8440","0.39%"
"Aug 19, 2015","12.8854","12.8994","12.9815","12.8133","-0.12%"
"Aug 18, 2015","12.9015","12.9047","12.9755","12.8772","-0.04%"
"Aug 17, 2015","12.9065","12.8217","12.9310","12.7996","0.63%"
"Aug 14, 2015","12.8261","12.8035","12.8920","12.7555","0.13%"
"Aug 13, 2015","12.8095","12.7566","12.8430","12.7178","0.41%"
"Aug 12, 2015","12.7575","12.7762","12.8780","12.7052","-0.27%"
"Aug 11, 2015","12.7915","12.6478","12.8285","12.6390","0.99%"
"Aug 10, 2015","12.6667","12.6205","12.7522","12.6205","0.33%"
"Aug 07, 2015","12.6255","12.7127","12.7940","12.5935","-0.72%"
"Aug 06, 2015","12.7175","12.7841","12.8047","12.7033","-0.62%"
"Aug 05, 2015","12.7965","12.7370","12.8299","12.7025","0.46%"
"Aug 04, 2015","12.7375","12.6800","12.7435","12.6151","0.41%"
"Aug 03, 2015","12.6854","12.6764","12.7543","12.6559","0.09%"
"Jul 31, 2015","12.6745","12.6944","12.7770","12.5747","-0.20%"
"Jul 30, 2015","12.7002","12.5320","12.7566","12.5300","1.35%"
"Jul 29, 2015","12.5315","12.5500","12.6065","12.4654","-0.30%"
"Jul 28, 2015","12.5695","12.6147","12.6575","12.5183","-0.40%"
"Jul 27, 2015","12.6199","12.6190","12.6956","12.5705","-0.03%"
"Jul 24, 2015","12.6233","12.4627","12.6867","12.4225","1.44%"
"Jul 23, 2015","12.4445","12.4030","12.4930","12.3702","0.28%"
"Jul 22, 2015","12.4095","12.3252","12.4420","12.3075","0.66%"
"Jul 21, 2015","12.3283","12.4285","12.4655","12.3175","-0.86%"
"Jul 20, 2015","12.4355","12.3648","12.4817","12.3533","0.61%"
"Jul 17, 2015","12.3600","12.3862","12.4075","12.2935","-0.24%"
"Jul 16, 2015","12.3895","12.4124","12.4487","12.3407","-0.23%"
"Jul 15, 2015","12.4183","12.3197","12.4659","12.3165","0.77%"
"Jul 14, 2015","12.3235","12.4410","12.4782","12.3170","-1.02%"
"Jul 13, 2015","12.4505","12.4892","12.5210","12.3856","0.00%"
"Jul 10, 2015","12.4505","12.5060","12.5115","12.3681","-0.48%"
"Jul 09, 2015","12.5105","12.5702","12.5875","12.4388","-0.52%"
"Jul 08, 2015","12.5757","12.4590","12.5834","12.4275","0.99%"
"Jul 07, 2015","12.4528","12.3870","12.5440","12.3665","0.49%"
"Jul 06, 2015","12.3920","12.4250","12.4625","12.3155","0.58%"
"Jul 03, 2015","12.3205","12.2430","12.3640","12.1975","0.59%"
"Jul 02, 2015","12.2485","12.2486","12.3600","12.2308","0.01%"
"Jul 01, 2015","12.2475","12.1650","12.2806","12.1412","0.64%"
"Jun 30, 2015","12.1699","12.2130","12.2840","12.1144","-0.58%"
"Jun 29, 2015","12.2405","12.3850","12.4085","12.1910","0.31%"
"Jun 26, 2015","12.2025","12.0997","12.2455","12.0947","0.81%"
