"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06, 2017","52,285.08","52,533.40","52,719.61","52,189.15","244.62M","-0.38%"
"Jul 05, 2017","52,483.90","51,936.27","52,508.77","51,936.27","223.19M","0.84%"
"Jul 04, 2017","52,049.25","51,809.74","52,174.99","51,734.57","140.27M","-0.22%"
"Jul 03, 2017","52,163.80","51,667.30","52,163.80","51,491.80","234.16M","1.07%"
"Jun 30, 2017","51,611.01","51,304.89","51,721.49","51,146.01","265.81M","0.50%"
"Jun 29, 2017","51,355.97","51,760.74","51,963.66","51,066.13","241.08M","-0.47%"
"Jun 28, 2017","51,596.84","51,329.95","51,628.48","51,296.22","195.07M","0.32%"
"Jun 27, 2017","51,432.24","51,444.64","51,628.46","51,267.01","197.68M","0.28%"
"Jun 26, 2017","51,288.71","51,697.10","51,697.10","51,288.71","219.16M","-0.42%"
"Jun 23, 2017","51,503.52","51,000.64","51,572.75","50,982.68","211.50M","0.84%"
"Jun 22, 2017","51,072.86","51,296.19","51,296.19","50,795.00","225.40M","-0.64%"
"Jun 21, 2017","51,402.69","51,040.49","51,402.69","50,803.87","251.99M","0.47%"
"Jun 20, 2017","51,160.57","51,626.32","51,642.61","51,150.76","269.59M","-0.88%"
"Jun 19, 2017","51,615.90","51,162.36","51,615.90","51,031.55","288.16M","1.54%"
"Jun 15, 2017","50,831.89","51,343.64","51,343.64","50,749.68","815.27M","-1.28%"
"Jun 14, 2017","51,489.16","51,826.15","51,971.17","51,489.16","362.62M","-0.26%"
"Jun 13, 2017","51,625.07","51,783.56","51,959.57","51,594.09","261.01M","0.12%"
"Jun 12, 2017","51,564.00","51,867.78","51,911.19","51,523.88","252.34M","-1.25%"
"Jun 09, 2017","52,216.93","52,075.87","52,302.93","51,947.96","259.24M","0.50%"
"Jun 08, 2017","51,958.52","52,221.53","52,221.53","51,787.89","253.20M","-0.31%"
"Jun 07, 2017","52,117.82","52,172.70","52,450.05","52,117.82","305.61M","-0.26%"
"Jun 06, 2017","52,251.87","52,810.37","52,865.75","52,251.87","302.54M","-1.17%"
"Jun 05, 2017","52,870.12","52,686.50","53,052.25","52,585.84","379.91M","-0.04%"
"Jun 02, 2017","52,889.70","53,012.76","53,169.75","52,639.42","315.96M","0.09%"
"Jun 01, 2017","52,840.68","53,486.24","53,549.79","52,837.90","616.32M","-1.35%"
"May 31, 2017","53,562.57","53,806.29","53,950.96","53,394.35","413.54M","-1.10%"
"May 30, 2017","54,158.04","53,904.42","54,190.95","53,828.24","170.25M","0.40%"
"May 29, 2017","53,944.22","53,906.33","53,988.69","53,806.47","102.25M","-0.10%"
"May 26, 2017","53,996.14","53,945.77","54,081.55","53,751.40","190.06M","-0.06%"
"May 25, 2017","54,028.39","54,369.50","54,432.60","54,017.03","254.56M","-0.52%"
"May 24, 2017","54,308.67","54,209.34","54,519.91","54,080.18","223.18M","-0.44%"
"May 23, 2017","54,548.91","54,462.52","54,716.53","54,437.72","220.90M","0.06%"
"May 22, 2017","54,517.06","54,662.72","54,666.17","54,347.53","188.68M","0.16%"
"May 19, 2017","54,427.30","54,298.50","54,486.91","54,156.08","231.89M","0.42%"
"May 18, 2017","54,197.12","54,033.20","54,329.14","53,955.69","341.81M","0.36%"
"May 17, 2017","54,001.94","54,006.26","54,296.05","53,817.64","275.15M","-0.04%"
"May 16, 2017","54,023.12","53,927.48","54,200.41","53,791.78","203.09M","-0.05%"
"May 15, 2017","54,052.18","54,123.45","54,254.37","53,767.13","156.68M","-0.02%"
"May 12, 2017","54,063.34","54,056.44","54,090.34","53,896.61","163.44M","-0.09%"
"May 11, 2017","54,114.00","54,404.01","54,444.63","53,913.32","207.40M","-0.26%"
"May 10, 2017","54,254.35","54,350.10","54,391.04","54,117.04","234.41M","0.15%"
"May 09, 2017","54,172.76","53,985.74","54,286.88","53,967.63","199.19M","0.89%"
"May 08, 2017","53,696.37","53,561.61","53,728.63","53,442.03","172.15M","0.22%"
"May 05, 2017","53,579.01","53,420.35","53,760.28","53,293.46","242.51M","0.32%"
"May 04, 2017","53,406.31","53,568.46","53,673.58","53,286.61","297.37M","-0.34%"
"May 03, 2017","53,586.63","53,960.53","54,157.53","53,481.45","253.40M","-0.61%"
"May 02, 2017","53,915.64","53,871.34","54,103.39","53,826.98","242.13M","0.18%"
"Apr 28, 2017","53,817.31","53,587.11","53,985.99","53,587.11","224.97M","0.25%"
"Apr 26, 2017","53,680.69","53,299.86","53,680.69","53,232.07","218.03M","0.79%"
"Apr 25, 2017","53,257.44","52,851.74","53,302.78","52,851.74","219.10M","0.63%"
"Apr 24, 2017","52,921.41","52,254.84","52,921.41","52,254.84","236.61M","1.39%"
"Apr 21, 2017","52,194.59","52,615.03","52,644.80","52,162.69","187.11M","-0.58%"
"Apr 20, 2017","52,496.62","52,537.15","52,560.48","52,196.34","224.50M","-0.09%"
"Apr 19, 2017","52,545.12","52,876.23","52,944.61","52,539.22","243.92M","-0.24%"
"Apr 18, 2017","52,672.75","53,280.96","53,298.09","52,635.68","248.77M","-1.57%"
