"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2017","89,942","90,068","90,700","89,712","506.57K","-0.14%"
"Jul 10, 2017","90,068","90,006","90,068","89,031","360.80K","-0.48%"
"Jul 07, 2017","90,506","90,200","90,702","89,620","358.88K","0.40%"
"Jul 06, 2017","90,146","91,250","91,691","89,716","671.94K","-1.46%"
"Jul 05, 2017","91,483","88,500","91,668","87,900","616.27K","2.91%"
"Jul 04, 2017","88,900","89,233","89,543","88,700","497.37K","-0.77%"
"Jul 03, 2017","89,589","89,536","89,610","88,620","469.37K","0.27%"
"Jun 30, 2017","89,345","88,650","89,754","88,650","291.92K","0.78%"
"Jun 29, 2017","88,650","90,022","90,066","88,353","256.05K","-1.61%"
"Jun 28, 2017","90,099","90,022","90,834","89,718","377.68K","0.50%"
"Jun 27, 2017","89,648","89,603","90,460","88,850","570.67K","0.05%"
"Jun 26, 2017","89,603","90,200","90,512","89,603","478.93K","-0.72%"
"Jun 23, 2017","90,250","90,060","90,612","89,803","271.93K","-0.39%"
"Jun 22, 2017","90,603","91,799","91,799","90,401","429.08K","-1.30%"
"Jun 21, 2017","91,800","92,100","92,100","90,750","616.79K","-0.33%"
"Jun 20, 2017","92,100","92,013","92,397","91,516","638.65K","0.12%"
"Jun 19, 2017","91,990","90,172","92,153","89,950","564.84K","3.23%"
"Jun 15, 2017","89,113","87,824","89,680","87,680","2.34M","1.46%"
"Jun 14, 2017","87,833","87,473","89,157","86,678","480.28K","-0.33%"
"Jun 13, 2017","88,123","88,390","89,178","87,776","405.55K","-0.29%"
"Jun 12, 2017","88,383","90,101","90,101","88,383","445.25K","-1.93%"
"Jun 09, 2017","90,125","91,990","92,256","90,125","366.89K","-2.36%"
"Jun 08, 2017","92,304","93,348","93,588","92,304","412.92K","-0.43%"
"Jun 07, 2017","92,703","93,141","93,364","92,338","539.38K","0.17%"
"Jun 06, 2017","92,550","91,501","93,250","91,501","657.50K","1.04%"
"Jun 05, 2017","91,600","91,580","92,081","91,313","662.47K","-0.30%"
"Jun 02, 2017","91,878","92,162","93,120","91,508","471.70K","-0.31%"
"Jun 01, 2017","92,162","93,000","94,190","92,068","1.02M","-2.38%"
"May 31, 2017","94,413","93,258","94,413","92,764","710.90K","1.24%"
"May 30, 2017","93,258","92,510","93,499","91,317","397.61K","1.15%"
"May 29, 2017","92,202","93,000","93,000","91,600","213.73K","0.14%"
"May 26, 2017","92,069","91,479","92,380","91,251","253.43K","0.64%"
"May 25, 2017","91,479","91,240","92,000","91,068","335.44K","0.28%"
"May 24, 2017","91,225","92,200","92,200","90,773","409.43K","-1.12%"
"May 23, 2017","92,259","94,500","94,500","92,246","458.24K","-1.70%"
"May 22, 2017","93,857","92,961","93,857","92,751","236.21K","0.98%"
"May 19, 2017","92,950","93,200","93,340","92,784","364.49K","-0.74%"
"May 18, 2017","93,645","94,250","96,074","93,645","723.04K","-0.05%"
"May 17, 2017","93,690","93,011","94,008","92,953","344.15K","1.00%"
"May 16, 2017","92,760","91,710","93,014","91,377","770.05K","1.14%"
"May 15, 2017","91,710","92,689","93,017","91,564","481.70K","-1.01%"
"May 12, 2017","92,650","92,539","92,754","91,855","239.63K","0.73%"
"May 11, 2017","91,978","92,342","92,817","91,600","464.99K","-0.39%"
"May 10, 2017","92,342","93,600","93,999","92,312","640.28K","-1.34%"
"May 09, 2017","93,600","93,505","94,792","93,505","778.52K","0.54%"
"May 08, 2017","93,100","91,996","93,344","91,996","532.27K","0.67%"
"May 05, 2017","92,476","92,100","93,269","92,100","760.42K","0.79%"
"May 04, 2017","91,747","91,500","91,912","91,197","580.69K","1.89%"
"May 03, 2017","90,045","90,909","91,218","90,045","400.12K","-0.17%"
"May 02, 2017","90,200","89,400","90,745","89,400","316.06K","0.13%"
"Apr 28, 2017","90,086","90,006","90,675","89,100","343.60K","-0.70%"
"Apr 26, 2017","90,722","89,000","90,722","88,824","564.06K","1.82%"
"Apr 25, 2017","89,100","88,256","89,490","88,256","343.82K","0.45%"
"Apr 24, 2017","88,703","86,900","88,703","86,800","276.46K","1.53%"
"Apr 21, 2017","87,365","88,105","88,105","86,993","406.62K","-0.98%"
"Apr 20, 2017","88,232","88,155","88,895","87,551","705.32K","-0.05%"
"Apr 19, 2017","88,275","89,761","90,124","88,272","425.16K","-1.43%"
"Apr 18, 2017","89,552","90,200","90,958","89,552","1.11M","-0.89%"
"Apr 13, 2017","90,355","91,485","91,758","90,355","463.09K","-1.68%"
"Apr 12, 2017","91,899","92,310","92,874","91,300","583.82K","-1.22%"
"Apr 11, 2017","93,037","92,150","93,037","92,150","1.09M","0.96%"
"Apr 10, 2017","92,150","91,600","92,320","91,479","758.22K","0.88%"
"Apr 07, 2017","91,345","90,730","91,518","90,315","617.26K","-0.03%"
"Apr 06, 2017","91,375","91,455","92,328","90,811","649.84K","-0.25%"
"Apr 05, 2017","91,600","88,610","91,600","88,600","1.08M","3.41%"
"Apr 04, 2017","88,582","91,000","91,969","88,581","818.14K","-0.58%"
"Apr 03, 2017","89,100","89,290","90,429","88,744","870.04K","1.08%"
"Mar 31, 2017","88,144","88,500","88,880","87,399","1.36M","3.76%"
"Mar 30, 2017","84,946","85,430","85,661","84,809","329.80K","-0.37%"
"Mar 29, 2017","85,259","85,908","85,908","84,255","699.92K","0.97%"
"Mar 28, 2017","84,436","85,001","85,563","84,097","535.63K","0.64%"
"Mar 27, 2017","83,900","80,900","84,305","80,854","575.85K","3.61%"
"Mar 24, 2017","80,975","80,742","81,401","80,440","1.07M","0.29%"
"Mar 23, 2017","80,742","81,216","81,254","80,251","265.75K","-0.58%"
"Mar 22, 2017","81,216","81,520","82,113","81,004","356.56K","0.05%"
"Mar 20, 2017","81,178","81,430","81,508","81,002","392.11K","-0.30%"
"Mar 17, 2017","81,421","80,808","81,926","80,552","722.76K","0.52%"
"Mar 16, 2017","80,999","80,400","81,499","79,303","2.10M","0.62%"
"Mar 15, 2017","80,500","81,594","81,594","80,345","380.33K","-2.68%"
"Mar 14, 2017","82,715","82,001","83,100","82,001","766.54K","0.32%"
